"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 14 15:15:33 UTC 2025","Fri Nov 14 15:15:34 UTC 2025","882","","com.capstone.api_tests.tests.AuthTest","","com.capstone.api_tests.tests.AuthTest","testRegistrationFailsWithInvalidOtp","testRegistrationFailsWithInvalidOtp() TC001 - Verify registration fails with invalid OTP [2]",""
"failed","Fri Nov 14 15:15:53 UTC 2025","Fri Nov 14 15:15:55 UTC 2025","1640","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testRevokeTripInvite","testRevokeTripInvite()",""
"passed","Fri Nov 14 15:16:01 UTC 2025","Fri Nov 14 15:16:03 UTC 2025","1430","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testGetTripsEmptyPage","testGetTripsEmptyPage()",""
"passed","Fri Nov 14 15:16:10 UTC 2025","Fri Nov 14 15:16:10 UTC 2025","779","","com.capstone.api_tests.tests.Trip2Test","","com.capstone.api_tests.tests.Trip2Test","testInvalidTripCreation","testInvalidTripCreation(Map, List) [2] {destination=Nairobi, title=Trip Missing Dates 1763133369455, travelers=1}, [400, 401]",""
"passed","Fri Nov 14 15:16:12 UTC 2025","Fri Nov 14 15:16:13 UTC 2025","942","","com.capstone.api_tests.tests.Trip2Test","","com.capstone.api_tests.tests.Trip2Test","testCreateTrip","testCreateTrip()",""
"passed","Fri Nov 14 15:15:46 UTC 2025","Fri Nov 14 15:15:48 UTC 2025","2295","","com.capstone.api_tests.tests.TripInviteTest","","com.capstone.api_tests.tests.TripInviteTest","testRejectInvite","testRejectInvite()",""
"failed","Fri Nov 14 15:15:40 UTC 2025","Fri Nov 14 15:15:41 UTC 2025","816","","com.capstone.api_tests.tests.AuthTest","","com.capstone.api_tests.tests.AuthTest","testForgotPasswordParameterized","testForgotPasswordParameterized(Map, int) TC004 / TC009 / TC011 - Forgot Password Test Case [1]",""
"passed","Fri Nov 14 15:15:39 UTC 2025","Fri Nov 14 15:15:40 UTC 2025","1006","","com.capstone.api_tests.tests.AuthTest","","com.capstone.api_tests.tests.AuthTest","testLoginParameterized","testLoginParameterized(Map, int, boolean) TC002-TC010 - Login Test Case [4]",""
"failed","Fri Nov 14 15:15:44 UTC 2025","Fri Nov 14 15:15:46 UTC 2025","1074","","com.capstone.api_tests.tests.TripInviteTest","","com.capstone.api_tests.tests.TripInviteTest","testAcceptInvite","testAcceptInvite()",""
"passed","Fri Nov 14 15:15:50 UTC 2025","Fri Nov 14 15:15:53 UTC 2025","2454","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testDeleteTripNotFound","testDeleteTripNotFound()",""
"passed","Fri Nov 14 15:15:40 UTC 2025","Fri Nov 14 15:15:40 UTC 2025","745","","com.capstone.api_tests.tests.AuthTest","","com.capstone.api_tests.tests.AuthTest","testLoginParameterized","testLoginParameterized(Map, int, boolean) TC002-TC010 - Login Test Case [5]",""
"failed","Fri Nov 14 15:16:00 UTC 2025","Fri Nov 14 15:16:01 UTC 2025","1396","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testAddTripMates","testAddTripMates()",""
"passed","Fri Nov 14 15:16:07 UTC 2025","Fri Nov 14 15:16:08 UTC 2025","1250","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testInvalidTripIdFormat","testInvalidTripIdFormat()",""
"passed","Fri Nov 14 15:15:57 UTC 2025","Fri Nov 14 15:15:58 UTC 2025","1313","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testUpdateTrip","testUpdateTrip()",""
"passed","Fri Nov 14 15:16:03 UTC 2025","Fri Nov 14 15:16:04 UTC 2025","1368","","com.capstone.api_tests.tests.TripTest","","com.capstone.api_tests.tests.TripTest","testRevokeInviteForUnknownUser","testRevokeInviteForUnknownUser()",""
